FacilityName,FacilityType,LicenseNumber,Licensee_name,LocationAddress,LocationCity,LocationState,LocationZipCode,LocationCounty,MailAddress,MailState,MailZipCode,TelephoneNmbr,FaxNmbr,LicensedBedCount,Source_DSHS_Data,hsystem_contract,contact_person,contact_person_title,num_employees,num_resident,facility_email,cellphone_number,total_afh_same_management,region
*Welcome Home Assisted Living LLC,AL,2505,This variable does not exist for Assisted Living,738 N 200TH ST.,SHORELINE,WA,98133,King,738 N 200TH ST.,WA,98133,(206) 546-1679,,8,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Amarpreet Singh,Administrator,4,3,amarpreetlidhar@hotmail.com,NA,NA,NA
AEGIS ASSISTED LIVING OF KIRKLAND,AL,1622,This variable does not exist for Assisted Living,13000 Totem Lake Blvd NE,Kirkland,WA,98034,King,13000 TOTEM LAKE BOULEVARD,WA,98034,(425) 823-7272,(425) 821-5910,60,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Laurel Cline,Administrator,50,51,clarissa.fitting@aegisliving.com,NA,NA,NA
AEGIS AT CALLAHAN HOUSE,AL,1627,This variable does not exist for Assisted Living,15100 1st Ave NE,Shoreline,WA,98155,King,15100 1st Ave NE,WA,98155,(206) 417-9747,,59,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Douglas Blake,Administrator,45,51,douglas.blake@aegisliving.com,NA,NA,NA
Aegis Gardens at Newcastle,AL,2435,This variable does not exist for Assisted Living,13056 SE 76th St,Newcastle,WA,98056,King,13056 SE 76th St,WA,98056,(425) 970-6708,,140,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Deepa Hall,Administrator,80,73,Deepa.Hall@aegisliving.com,NA,NA,NA
Aegis Living at Ravenna,AL,2455,This variable does not exist for Assisted Living,8511 15th Ave NE,Seattle,WA,98115,King,8511 15th Ave NE,WA,98115,,,104,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Lori Stiff,Administrator,75,64,lori.stiff@aegisliving.com,NA,NA,NA
Aegis Living of West Seattle,AL,2454,This variable does not exist for Assisted Living,4700 SW Admiral Way,Seattle,WA,98116,King,4700 SW Admiral Way,WA,98116,(206) 436-0500,,100,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Alice Bouman,Administrator,85,72,Alice.Bouman@aegisliving.com,NA,NA,NA
Aegis Lodge of Kirkland,AL,2492,This variable does not exist for Assisted Living,12629 116TH AVE NE,KIRKLAND,WA,98034,King,12629 116TH AVE NE,WA,98034,,,96,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Cecilia Fontana,Administrator,89,74,cecilia.fontana@aegisliving.com,(425)814-2841 (Mobile),NA,NA
Aegis of Bellevue,AL,2491,This variable does not exist for Assisted Living,148 102nd Ave SE,Bellevue,WA,98004,King,148 102nd Ave SE,WA,98004,,,101,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Howard Jacobs,Administrator,84,85,howard.jacobs@aegisliving.com,(425)453-8100 (Mobile),NA,NA
AEGIS OF ISSAQUAH,AL,1997,This variable does not exist for Assisted Living,780 NW JUNIPER STREET,ISSAQUAH,WA,98027,King,780 NW JUNIPER STREET,WA,98027,(425) 392-8100,(425) 391-8804,100,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Melissa Neal,Administrator,96,87,Melissa.Neal@aegisliving.com,NA,NA,NA
AEGIS OF MADISON,AL,2241,This variable does not exist for Assisted Living,2200 E Madison St,Seattle,WA,98112,King,2200 E Madison St,WA,98112,(206) 325-1600,,125,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Mina White,Administrator,127,91,mina.white@aegisliving.com,NA,NA,NA
AEGIS OF MARYMOOR,AL,2209,This variable does not exist for Assisted Living,4585 WEST LAKE SAMMAMISH PARKWAY NE,REDMOND,WA,98052,King,4585 WEST LAKE SAMMAMISH PARKWAY NE,WA,98052,(425) 497-0900,(425) 947-3034,72,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Roger Young,Administrator,66,61,roger.young@aegisliving.com,NA,NA,NA
Aegis of Mercer Island,AL,2509,This variable does not exist for Assisted Living,7445 SE 24th Street,Mercer Island,WA,98040,King,7445 SE 24th Street,WA,98040,(206) 602-1365,,128,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Yasmin Wyrick,Administrator,52,60,yasmin.wyrick@aegisliving.com,NA,NA,NA
Aegis of Queen Anne at Rodgers Park,AL,2381,This variable does not exist for Assisted Living,2900 3rd Ave W,Seattle,WA,98119,King,2900 3rd Ave W,WA,98119,(206) 858-9989,(206) 281-5208,150,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Nick Sponaugle,Administrator,100,126,Nick.Sponaugle@aegisliving.com,NA,NA,NA
Aegis of Queen Anne on Galer,AL,2339,This variable does not exist for Assisted Living,223 W Galer St,Seattle,WA,98119,King,223 W Galer St,WA,98119,(206) 285-1106,,68,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Kaylan Moore,Administrator,77,49,kaylan.moore@aegisliving.com,(925)895-6230 (Mobile),NA,NA
AEGIS SENIOR INN OF KENT,AL,1944,This variable does not exist for Assisted Living,10421 SE 248th St,Kent,WA,98030,King,10421 SE 248th St,WA,98030,(253) 520-8400,(253) 520-0360,48,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Kent Chappelle,Administrator,50,45,Kent.Chappelle@aegisliving.com,NA,NA,NA
AEGIS SENIOR INN OF REDMOND,AL,1804,This variable does not exist for Assisted Living,7480 W LAKE SAMMAMISH PKWY NE,REDMOND,WA,98052,King,7480 W LAKE SAMMAMISH PKWY NE,WA,98052,(425) 883-4000,,52,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,James Grenfell,Administrator,47,40,shantel.dennis@aegisliving.com,NA,NA,NA
AEGIS SENIOR LIVING OF SHORELINE,AL,1803,This variable does not exist for Assisted Living,14900 1ST AVENUE NE,SHORELINE,WA,98155,King,14900 1ST AVENUE NE,WA,98155,(206) 367-6700,(206) 315-2121,130,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Jason Cairns,Administrator,103,82,jason.cairns@aegisliving.com,NA,NA,NA
ALJOYA MERCER ISLAND,AL,2019,This variable does not exist for Assisted Living,2430 76TH AVENUE SE,MERCER ISLAND,WA,98040,King,2430 76TH AVENUE SE,WA,98040,(206) 230-0150,(206) 374-2140,35,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,MARLA BECKER,Administrator,79,19,administrativeservices@eraliving.com,NA,NA,NA
ALJOYA THORNTON PLACE,AL,2040,This variable does not exist for Assisted Living,450 NE 100TH STREET,SEATTLE,WA,98125,King,450 NE 100TH ST,WA,98125,(206) 470-8000,(206) 374-2382,35,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Danielle Parkins,Administrator,100,18,administrativeservices@eraliving.com,NA,NA,NA
ARBOR VILLAGE RETIREMENT & ASSISTED LIVING COMMUNITY,AL,1993,This variable does not exist for Assisted Living,24121 116TH AVE SE,KENT,WA,98030,King,24121 116TH AVE SE,WA,98030,(253) 856-1600,(253) 856-8042,100,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Bonnie Bachman,Administrator,63,73,carolf@cascadeliving.com,NA,NA,NA
BALLARD LANDMARK,AL,2055,This variable does not exist for Assisted Living,5433 LEARY AVENUE NW,SEATTLE,WA,98107,King,5433 LEARY AVENUE NW,WA,98107,(206) 782-4000,,60,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Betty Glandon,Administrator,70,45,bglandon@gencare-inc.com,NA,NA,NA
BAYVIEW MANOR HOMES,AL,162,This variable does not exist for Assisted Living,11 W Aloha St,Seattle,WA,981199963,King,11 W Aloha St,WA,981199963,(206) 284-7330,,51,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Joel Smith,Administrator,65,40,jansell@bayviewseattle.org,NA,NA,NA
BETHESDA LUTHERAN COMMUNITIES 105TH AVE,AL,2052,This variable does not exist for Assisted Living,17019 105TH AVE SE,RENTON,WA,98055,King,451 SW 10th ST STE 108,WA,98057,(425) 227-6673,(206) 826-1695,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,James Arcinlega,Administrator,11,5,zola.sheehan@bethesdalc.org,(425)306-2672 (Mobile),NA,NA
BETHESDA LUTHERAN COMMUNITIES 113TH AVE,AL,2049,This variable does not exist for Assisted Living,16642 113TH AVE SE,RENTON,WA,98055,King,451 SW 10th St Ste 108,WA,98057,(425) 227-8736,(206) 826-1695,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,James Arcinlega,Administrator,15,6,zola.sheehan@bethesdalc.org,(425)306-2282 (Mobile),NA,NA
BETHESDA LUTHERAN COMMUNITIES 19TH STREET,AL,2050,This variable does not exist for Assisted Living,4001 NE 19TH ST,RENTON,WA,98056,King,451 SW 10th St  Ste 108,WA,98057,(425) 227-8720,(425) 227-8729,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Chris Morris,Administrator,11,6,zola.sheehan@bethesdalc.org,(425)306-2282 (Mobile),NA,NA
BETHESDA LUTHERAN COMMUNITIES OLYMPIA AVE,AL,2051,This variable does not exist for Assisted Living,1025 Olympia Ave NE,Renton,WA,98056,King,1025 Olympia Ave NE,WA,98056,(425) 227-6671,(206) 826-1695,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,James Arcinlega,Administrator,12,5,zola.sheehan@bethesdalc.org,(425)306-2282 (Mobile),NA,NA
BEVERLY PARK GROUP HOME,AL,606,This variable does not exist for Assisted Living,150 SW 114TH ST,SEATTLE,WA,98146,King,PO BOX 17017,WA,98127,(206) 241-2049,,8,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Richard Massey,Administrator,17,8,United_Friends@msn.com,NA,NA,NA
Brannan Park Assisted Living and Memory Care Community,AL,2390,This variable does not exist for Assisted Living,2901 I Street NE,Auburn,WA,98002,King,2020 A St SE Suite 101,WA,98002,(253) 736-2800,,80,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Scott Spencer,Administrator,55,109,office@villageconcepts.com,NA,NA,NA
Briarwood at Timber Ridge,AL,2544,This variable does not exist for Assisted Living,100 Timber Ridge Way NW,Issaquah,WA,98027,King,100 Timber Ridge Way NW,WA,98027,(425) 427-5200,,35,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brookdale Admiral Heights,AL,2306,This variable does not exist for Assisted Living,2326 CALIFORNIA AVE SW,SEATTLE,WA,98116,King,2326 CALIFORNIA AVE SW,WA,98116,(206) 866-1711,(206) 938-0895,55,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Dawn Schaper,Administrator,47,40,permits@brookdale.com,NA,NA,NA
Brookdale Federal Way,AL,2526,This variable does not exist for Assisted Living,31002 14th Ave S,Federal Way,WA,98003,King,31002 14th Ave S,WA,98003,(253) 941-0156,,110,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Steven Wickline,Administrator,42,98,smerrill@Brookdale.com,NA,NA,NA
Brookdale Foundation House,AL,1917,This variable does not exist for Assisted Living,32290 1st Ave S,Federal Way,WA,98003,King,32290 FIRST AVE SOUTH,WA,98003,(253) 838-8823,,129,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,JOHN LANOUETTE,Administrator,112,80,permits@brookdale.com,NA,NA,NA
